;,",",=,[,],ID,CONSTNUM,int,bool,char,float,(,),main,print,"""",,CHARCONST,%d,%f,%c,scan,{,},if,else,while,foreach,in,for,return,break,+=,?=,++,??,or,and,not,<=,<,>,>=,==,!=,+,-,*,/,%,CONSTFLOAT,true,false,$,program,declaration-list,declaration,var-declaration,scoped-var-declaration,var-decl-list,var-decl-initialize,simple-expression-list,var-decl-id,scoped-type-specifier,type-specifier,fun-declaration,params,param-list,param-type-list,param-id-list,param-id,statement,print-stmt,scan-stmt,printf,message,var-in-message,scanf,var-in-scan,compound-stmt,local-declarations,statement-list,expression-stmt,selection-stmt,selection-stmt1,iteration-stmt,return-stmt,break-stmt,expression,simple-expression,and-expression,unary-rel-expression,rel-expression,relop,sum-expression,sumop,term,mulop,unary-expression,unaryop,factor,mutable,immutable,call,args,arg-list,constant,const,bool_value,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,38,,39,,40,,41,42,43,46,45,48,,,49,51,55,
r81,r81,,,r81,,,,,,,,r81,,,,,,,,,,,,,,,,,,,,,,,,r81,r81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,40,,41,42,43,46,45,48,,,49,51,55,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,41,42,43,46,45,48,,,49,51,55,
,,,,,r85,r85,,,,,r85,,,,,,r85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r85,,,,r85,r85,r85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r86,r86,,,,,r86,,,,,,r86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r86,,,,r86,r86,r86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r87,r87,,,,,r87,,,,,,r87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r87,,,,r87,r87,r87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r88,r88,,,,,r88,,,,,,r88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r88,,,,r88,r88,r88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r89,r89,,,,,r89,,,,,,r89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r89,,,,r89,r89,r89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r90,r90,,,,,r90,,,,,,r90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r90,,,,r90,r90,r90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r93,r93,,,,,r93,,,,,,r93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r93,,,,r93,r93,r93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r94,r94,,,,,r94,,,,,,r94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r94,,,,r94,r94,r94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,42,43,46,45,48,,,49,51,55,
,,,,,r97,r97,,,,,r97,,,,,,r97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r97,,,,r97,r97,r97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r98,r98,,,,,r98,,,,,,r98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r98,,,,r98,r98,r98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r99,r99,,,,,r99,,,,,,r99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r99,,,,r99,r99,r99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r100,r100,,,r100,,,,,,,,r100,,,,,,,,,,,,,,,,,,,,,,,,r100,r100,,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,r100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,s127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r104,r104,s128,,r104,,,,,,,,r104,,,,,,,,,,,,,,,,,,,,s129,s130,s131,s132,r104,r104,,r104,r104,r104,r104,r104,r104,r104,r104,r104,r104,r104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r76,r76,,,r76,,,,,,,,r76,,,,,,,,,,,,,,,,,,,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
,,,,,s50,s52,,,,,s47,r113,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,89,35,36,38,,39,,40,,41,42,43,88,45,48,134,135,49,51,55,
,,,,,r22,,r22,r22,r22,r22,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r33,,,,,r33,r33,r33,r33,r33,r33,r33,,r33,r33,,,r33,,,,r33,r33,r33,r33,r33,r33,r33,,r33,r33,r33,,,,,,,r33,,,,,,,,r33,,,,r33,r33,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r34,,,,,r34,r34,r34,r34,r34,r34,r34,,r34,r34,,,r34,,,,r34,r34,r34,r34,r34,r34,r34,,r34,r34,r34,,,,,,,r34,,,,,,,,r34,,,,r34,r34,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r35,,,,,r35,r35,r35,r35,r35,r35,r35,,r35,r35,,,r35,,,,r35,r35,r35,r35,r35,r35,r35,,r35,r35,r35,,,,,,,r35,,,,,,,,r35,,,,r35,r35,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r36,,,,,r36,r36,r36,r36,r36,r36,r36,,r36,r36,,,r36,,,,r36,r36,r36,r36,r36,r36,r36,,r36,r36,r36,,,,,,,r36,,,,,,,,r36,,,,r36,r36,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r37,,,,,r37,r37,r37,r37,r37,r37,r37,,r37,r37,,,r37,,,,r37,r37,r37,r37,r37,r37,r37,,r37,r37,r37,,,,,,,r37,,,,,,,,r37,,,,r37,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r38,,,,,r38,r38,r38,r38,r38,r38,r38,,r38,r38,,,r38,,,,r38,r38,r38,r38,r38,r38,r38,,r38,r38,r38,,,,,,,r38,,,,,,,,r38,,,,r38,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r39,,,,,r39,r39,r39,r39,r39,r39,r39,,r39,r39,,,r39,,,,r39,r39,r39,r39,r39,r39,r39,,r39,r39,r39,,,,,,,r39,,,,,,,,r39,,,,r39,r39,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r40,,,,,r40,r40,r40,r40,r40,r40,r40,,r40,r40,,,r40,,,,r40,r40,r40,r40,r40,r40,r40,,r40,r40,r40,,,,,,,r40,,,,,,,,r40,,,,r40,r40,r40,r40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r61,,,,,r61,r61,r61,r61,r61,r61,r61,,r61,r61,,,r61,,,,r61,r61,r61,r61,r61,r61,r61,,r61,r61,r61,,,,,,,r61,,,,,,,,r61,,,,r61,r61,r61,r61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r57,,,,,r57,r57,r57,r57,r57,r57,r57,,r57,r57,,,r57,,,,r57,r57,r57,r57,r57,r57,r57,,r57,r57,r57,,,,,,,r57,,,,,,,,r57,,,,r57,r57,r57,r57,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,s139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,s140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,s141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,s142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s143,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
s145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r41,,,,,r41,r41,r41,r41,r41,r41,r41,,r41,r41,,,r41,,,,r41,r41,r41,r41,r41,r41,r41,,r41,r41,r41,,,,,,,r41,,,,,,,,r41,,,,r41,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r42,,,,,r42,r42,r42,r42,r42,r42,r42,,r42,r42,,,r42,,,,r42,r42,r42,r42,r42,r42,r42,,r42,r42,r42,,,,,,,r42,,,,,,,,r42,,,,r42,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,s147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r26,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,s149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r23,,r23,r23,r23,r23,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r21,,r21,r21,r21,r21,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r77,r77,,,r77,,,,,,,,r77,,,,,,,,,,,,,,,,,,,,,,,,r77,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r11,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,35,36,38,,39,,40,,41,42,43,46,45,48,,,49,51,55,
r79,r79,,,r79,,,,,,,,r79,,,,,,,,,,,,,,,,,,,,,,,,r79,r79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r83,r83,,,r83,,,,,,,,r83,,,,,,,,,,,,,,,,,,,,,,,,r83,r83,,,,,,,,s79,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,
r91,r91,,,r91,,,,,,,,r91,,,,,,,,,,,,,,,,,,,,,,,,r91,r91,,r91,r91,r91,r91,r91,r91,r91,r91,s82,s83,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,
r95,r95,,,r95,,,,,,,,r95,,,,,,,,,,,,,,,,,,,,,,,,r95,r95,,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,r95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r108,r108,,,r108,,,,,,,,r108,,,,,,,,,,,,,,,,,,,,,,,,r108,r108,,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,r108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
r74,r74,,,r74,,,,,,,,r74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r75,r75,,,r75,,,,,,,,r75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,s155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,s156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s157,,,,,,,,,,,r112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r115,,,,,,,,,,,r115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r60,,,,,r60,r60,r60,r60,r60,r60,r60,,r60,r60,,,r60,,,,r60,r60,r60,r60,r60,r60,r60,,r60,r60,r60,,,,,,,r60,,,,,,,,r60,,,,r60,r60,r60,r60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r59,,,,,r59,r59,s8,s9,s10,s11,r59,,,r59,,,r59,,,,r59,r59,r59,r59,,r59,r59,,r59,r59,r59,,,,,,,r59,,,,,,,,r59,,,,r59,r59,r59,,,,,,159,,,,,160,161,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,35,36,38,,39,,40,,41,42,43,46,45,48,,,49,51,55,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,35,36,38,,39,,40,,41,42,43,46,45,48,,,49,51,55,
,,,,,s166,,,,,,s165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,
