;,",",=,[,],ID,CONSTNUM,int,bool,char,float,(,),main,print,"""",,CHARCONST,%d,%f,%c,scan,{,},if,else,while,foreach,in,for,return,break,+=,?=,++,??,or,and,not,<=,<,>,>=,==,!=,+,-,*,/,%,CONSTFLOAT,true,false,$,program,declaration-list,declaration,var-declaration,scoped-var-declaration,var-decl-list,var-decl-initialize,simple-expression-list,var-decl-id,scoped-type-specifier,type-specifier,fun-declaration,params,param-list,param-type-list,param-id-list,param-id,statement,print-stmt,scan-stmt,printf,message,var-in-message,scanf,var-in-scan,compound-stmt,local-declarations,statement-list,expression-stmt,selection-stmt,selection-stmt1,iteration-stmt,return-stmt,break-stmt,expression,simple-expression,and-expression,unary-rel-expression,rel-expression,relop,sum-expression,sumop,term,mulop,unary-expression,unaryop,factor,mutable,immutable,call,args,arg-list,constant,const,bool_value,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
r68,,,,,r68,r68,r68,r68,r68,r68,r68,,r68,r68,,,r68,,,,r68,r68,r68,r68,r68,r68,r68,,r68,r68,r68,,,,,,,r68,,,,,,,,r68,,,,r68,r68,r68,r68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r70,,,,,r70,r70,r70,r70,r70,r70,r70,,r70,r70,,,r70,,,,r70,r70,r70,r70,r70,r70,r70,,r70,r70,r70,,,,,,,r70,,,,,,,,r70,,,,r70,r70,r70,r70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,r47,,r47,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s171,s172,s173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r29,r29,,,,,,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r32,r32,,,,,,,,,,,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r12,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r105,r105,r105,,r105,,,,,,,,r105,,,,,,,,,,,,,,,,r105,,,,r105,r105,r105,r105,r105,r105,,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,r105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r71,r71,,,r71,,,,,,,,r71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r72,r72,,,r72,,,,,,,,r72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r73,r73,,,r73,,,,,,,,r73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r107,r107,r107,,r107,,,,,,,,r107,,,,,,,,,,,,,,,,r107,,,,r107,r107,r107,r107,r107,r107,,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,r107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r111,r111,,,r111,,,,,,,,r111,,,,,,,,,,,,,,,,,,,,,,,,r111,r111,,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,r111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
s102,,,,,s50,s52,,,,,s47,,,s112,,,s54,,,,s113,s103,s175,s104,,s105,s106,,s107,s108,s109,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,176,99,100,110,,,111,,94,,,93,95,,96,97,98,101,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
r56,,,,,r56,r56,r56,r56,r56,r56,r56,,r56,r56,,,r56,,,,r56,r56,r56,r56,r56,r56,r56,,r56,r56,r56,,,,,,,r56,,,,,,,,r56,,,,r56,r56,r56,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,15,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,s178,,,,,,,,,,,,,,,,,,,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,s179,,,,,,,,,,,,,,,,,,,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,s180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,s8,s9,s10,s11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r106,r106,r106,s90,r106,,,,,,,,r106,,,,,,,,,,,,,,,,r106,,,,r106,r106,r106,r106,r106,r106,,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,r106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r69,,,,,r69,r69,r69,r69,r69,r69,r69,,r69,r69,,,r69,,,,r69,r69,r69,r69,r69,r69,r69,,r69,r69,r69,,,,,,,r69,,,,,,,,r69,,,,r69,r69,r69,r69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,s182,,s183,s185,s186,s187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,s188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r114,,,,,,,,,,,r114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r55,,,,,r55,r55,r55,r55,r55,r55,r55,,r55,r55,,,r55,,,,r55,r55,r55,r55,r55,r55,r55,,r55,r55,r55,,,,,,,r55,,,,,,,,r55,,,,r55,r55,r55,r55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r58,,,,,r58,r58,,,,,r58,,,r58,,,r58,,,,r58,r58,r58,r58,,r58,r58,,r58,r58,r58,,,,,,,r58,,,,,,,,r58,,,,r58,r58,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s189,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s102,,,,,s50,s52,,,,,s47,,,s112,,,s54,,,,s113,s103,,s104,,s105,s106,,s107,s108,s109,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,190,99,100,110,,,111,,94,,,93,95,,96,97,98,101,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
s102,,,,,s50,s52,,,,,s47,,,s112,,,s54,,,,s113,s103,,s104,,s105,s106,,s107,s108,s109,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,191,99,100,110,,,111,,94,,,93,95,,96,97,98,101,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,35,36,38,,39,,40,,41,42,43,46,45,48,,,49,51,55,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,35,36,38,,39,,40,,41,42,43,46,45,48,,,49,51,55,
,s195,,,,,,,,,,,,,,,s194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,r45,,r45,r45,r45,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,r46,,r46,r46,r46,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,r48,,r48,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,r49,,r49,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,r50,,r50,r50,r50,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r6,,,,,r6,r6,r6,r6,r6,r6,r6,,r6,r6,,,r6,,,,r6,r6,r6,r6,r6,r6,r6,,r6,r6,r6,,,,,,,r6,,,,,,,,r6,,,,r6,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,s198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,
r64,,,,,r64,r64,r64,r64,r64,r64,r64,,r64,r64,,,r64,,,,r64,r64,r64,r64,r64,r64,r64,,r64,r64,r64,,,,,,,r64,,,,,,,,r64,,,,r64,r64,r64,r64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,s199,,,,,,,,,,,,,,,,,,,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s201,,,,,,,,,,,,s200,,,,,,,,,,,,,,,,,,,,,,,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,15,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r62,,,,,r62,r62,r62,r62,r62,r62,r62,,r62,r62,,,r62,,,,r62,r62,r62,r62,r62,r62,r62,,r62,r62,r62,,,,,,,r62,,,,,,,,r62,,,,r62,r62,r62,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s102,,,,,s50,s52,,,,,s47,,,s112,,,s54,,,,s113,s103,,s104,,s105,s106,,s107,s108,s109,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,205,99,100,110,,,111,,94,,,93,95,,96,97,98,101,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
s102,,,,,s50,s52,,,,,s47,,,s112,,,s54,,,,s113,s103,,s104,,s105,s106,,s107,s108,s109,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,206,99,100,110,,,111,,94,,,93,95,,96,97,98,101,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
s102,,,,,s50,s52,,,,,s47,,,s112,,,s54,,,,s113,s103,,s104,,s105,s106,,s107,s108,s109,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,207,99,100,110,,,111,,94,,,93,95,,96,97,98,101,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
,,,,,s50,s52,,,,,s47,,,,,,s54,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
r43,,,,,r43,r43,r43,r43,r43,r43,r43,,r43,r43,,,r43,,,,r43,r43,r43,r43,r43,r43,r43,,r43,r43,r43,,,,,,,r43,,,,,,,,r43,,,,r43,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s209,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r63,,,,,r63,r63,r63,r63,r63,r63,r63,,r63,r63,,,r63,,,,r63,r63,r63,r63,r63,r63,r63,,r63,r63,r63,,,,,,,r63,,,,,,,,r63,,,,r63,r63,r63,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r65,,,,,r65,r65,r65,r65,r65,r65,r65,,r65,r65,,,r65,,,,r65,r65,r65,r65,r65,r65,r65,,r65,r65,r65,,,,,,,r65,,,,,,,,r65,,,,r65,r65,r65,r65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r66,,,,,r66,r66,r66,r66,r66,r66,r66,,r66,r66,,,r66,,,,r66,r66,r66,r66,r66,r66,r66,,r66,r66,r66,,,,,,,r66,,,,,,,,r66,,,,r66,r66,r66,r66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,s211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r44,,,,,r44,r44,r44,r44,r44,r44,r44,,r44,r44,,,r44,,,,r44,r44,r44,r44,r44,r44,r44,,r44,r44,r44,,,,,,,r44,,,,,,,,r44,,,,r44,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r51,,,,,r51,r51,r51,r51,r51,r51,r51,,r51,r51,,,r51,,,,r51,r51,r51,r51,r51,r51,r51,,r51,r51,r51,,,,,,,r51,,,,,,,,r51,,,,r51,r51,r51,r51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s102,,,,,s50,s52,,,,,s47,,,s112,,,s54,,,,s113,s103,,s104,,s105,s106,,s107,s108,s109,,,,,,,s37,,,,,,,,s44,,,,s53,s56,s57,,,,,,,,,,,,,,,,,,,212,99,100,110,,,111,,94,,,93,95,,96,97,98,101,89,35,36,38,,39,,40,,41,42,43,88,45,48,,,49,51,55,
r67,,,,,r67,r67,r67,r67,r67,r67,r67,,r67,r67,,,r67,,,,r67,r67,r67,r67,r67,r67,r67,,r67,r67,r67,,,,,,,r67,,,,,,,,r67,,,,r67,r67,r67,r67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
